seller_id,seller_zip_code_prefix,seller_city,seller_state
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
ba5daa4041e1f15cdf34b76e3e18a450,4363,sao paulo,SP
d3f39f05462b79a4562d35893a28f159,13730,mococa,SP
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
3504c0cb71d7fa48d967e0e4c94d59d9,9350,maua,SP
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
55c26bcb609f480eb7868594245febb5,14910,tabatinga,SP
d673a59aac7a70d8b01e6902bf090a11,14940,ibitinga,SP
f52c2422904463fdd7741f99045fecb6,9230,santo andre/sao paulo,SP
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
fe2032dab1a61af8794248c8196565c9,13030,campinas,SP
c4af86330efa7a2620772227d2d670c9,8840,mogi das cruzes,SP
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
980640c45d7a4635885491d077167e4d,13501,rio claro,SP
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
977f9f63dd360c2a32ece2f93ad6d306,14910,tabatinga,SP
2c9e548be18521d1c43cde1c582c6de8,8752,mogi das cruzes,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
f7720c4fa8e3aba4546301ab80ea1f1b,81350,curitiba,PR
8581055ce74af1daba164fdbd55a40de,7112,guarulhos,SP
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
85d9eb9ddc5d00ca9336a2219c97bb13,31255,belo horizonte,MG
f5f46307a4d15880ca14fab4ad9dfc9b,89165,rio do sul,SC
f27e33c6d29b5138fa9967bcd445b6d5,4273,sao paulo,SP
c0563dd588b775f2e37747ef6ad6c92c,9220,santo andre,SP
633ecdf879b94b5337cca303328e4a25,4438,sao paulo,SP
5dceca129747e92ff8ef7a997dc4f8ca,13450,santa barbara d´oeste,SP
dc8798cbf453b7e0f98745e396cc5616,5455,sao paulo,SP
4869f7a5dfa277a7dca6462dcf3b52b2,14840,guariba,SP
094ced053e257ae8cae57205592d6712,14095,ribeirao preto,SP
a5cba26a62b8b4d0145b68b841e62e7f,87303,campo mourao,PR
a1043bafd471dff536d0c462352beb48,37175,ilicinea,MG
f8db351d8c4c4c22c6835c19a46f01b0,13324,salto,SP
89a51f50b8095ea78d5768f34c13a76f,71931,brasilia,DF
70a12e78e608ac31179aea7f8422044b,12327,jacarei,SP
66922902710d126a0e7d26b0e3805106,31842,belo horizonte,MG
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
63b9ae557efed31d1f7687917d248a8d,13720,sao jose do rio pardo,SP
